[2025-11-01 09:46:58.786] [info]  DiscordSplash.signalReady
[2025-11-01 09:46:58.852] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-01 09:46:58.852] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-01 09:46:58.853] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-01 09:46:58.854] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-01 09:46:58.855] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-01 09:46:58.855] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-01 09:46:58.856] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-01 09:46:58.859] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-01 09:46:58.861] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-01 09:46:58.862] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-01 09:46:58.862] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-01 09:46:58.862] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-01 09:46:58.863] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-01 09:46:58.863] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-01 09:46:59.786] [info]  Splash.updateCountdownSeconds: undefined
[2025-11-01 09:47:00.786] [info]  Splash.updateCountdownSeconds: undefined
[2025-11-01 09:47:01.290] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-11-01 09:47:01.293] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-11-01 09:47:01.785] [info]  Splash.updateCountdownSeconds: undefined
[2025-11-01 09:47:02.786] [info]  Splash.updateCountdownSeconds: undefined
[2025-11-01 09:47:02.901] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-11-01 09:47:02.902] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-11-01 09:47:02.947] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-11-01 09:47:02.949] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-11-01 09:47:03.006] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-11-01 09:47:03.007] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-11-01 09:47:03.039] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-11-01 09:47:03.041] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-11-01 09:47:03.078] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-11-01 09:47:03.079] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-11-01 09:47:03.094] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-11-01 09:47:03.096] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-11-01 09:47:03.117] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-11-01 09:47:03.119] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-11-01 09:47:03.164] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-11-01 09:47:03.166] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-11-01 09:47:03.183] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-11-01 09:47:03.184] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-11-01 09:47:03.194] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-11-01 09:47:03.197] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-11-01 09:47:03.204] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
